,MMM,AOS,ABT,ABBV,ABMD,ACN,ATVI,ADM,ADBE,ADP,AAP,AES,AFL,A,AIG
2022-01-03,177.74000549316406,83.56999969482422,139.0399932861328,135.4199981689453,366.2900085449219,407.2099914550781,67.41999816894531,67.88999938964844,564.3699951171875,244.00999450683594,236.77999877929688,24.3799991607666,58.27000045776367,156.47999572753906,57.38999938964844
2022-01-04,180.22999572753906,84.95999908447266,135.77000427246094,135.16000366210938,361.5899963378906,404.29998779296875,67.19999694824219,69.1500015258789,554.0,245.14999389648438,237.0500030517578,24.450000762939453,60.18000030517578,151.19000244140625,59.0
2022-01-05,179.49000549316406,83.54000091552734,135.16000366210938,135.8699951171875,338.20001220703125,397.17999267578125,66.29000091552734,68.61000061035156,514.4299926757812,243.05999755859375,236.4499969482422,23.329999923706055,60.08000183105469,148.60000610351562,58.189998626708984
2022-01-06,178.0,84.0999984741211,135.13999938964844,135.22999572753906,336.44000244140625,378.0,63.81999969482422,69.22000122070312,514.1199951171875,241.38999938964844,241.64999389648438,23.239999771118164,61.189998626708984,149.1199951171875,59.189998626708984
2022-01-07,179.9499969482422,83.1500015258789,135.55999755859375,134.8800048828125,319.2799987792969,370.75,64.04000091552734,69.80999755859375,510.70001220703125,238.83999633789062,238.08999633789062,23.100000381469727,62.15999984741211,145.14999389648438,60.7400016784668
2022-01-10,177.41000366210938,82.88999938964844,135.25999450683594,136.38999938964844,306.79998779296875,373.0,63.11000061035156,69.93000030517578,525.8300170898438,232.88999938964844,234.1300048828125,22.959999084472656,62.90999984741211,145.16000366210938,61.40999984741211
2022-01-11,178.97999572753906,83.69999694824219,135.6999969482422,136.97000122070312,319.1000061035156,375.1099853515625,65.8499984741211,70.4800033569336,529.8900146484375,235.27999877929688,232.00999450683594,23.34000015258789,63.220001220703125,146.63999938964844,61.77000045776367
2022-01-12,179.4199981689453,83.9800033569336,133.72000122070312,137.2899932861328,315.42999267578125,377.19000244140625,64.80999755859375,70.41999816894531,532.3699951171875,234.6300048828125,237.52999877929688,23.43000030517578,63.34000015258789,149.50999450683594,61.369998931884766
2022-01-13,181.02000427246094,82.94000244140625,129.64999389648438,133.52000427246094,306.7900085449219,361.3699951171875,64.16999816894531,70.9000015258789,516.9000244140625,231.92999267578125,241.32000732421875,23.270000457763672,63.43000030517578,145.1699981689453,61.869998931884766
2022-01-14,178.74000549316406,80.56999969482422,128.16000366210938,135.8699951171875,301.2200012207031,353.3599853515625,65.38999938964844,71.55000305175781,520.5999755859375,228.75,239.60000610351562,23.059999465942383,64.05999755859375,144.67999267578125,61.90999984741211
2022-01-18,178.27999877929688,80.66000366210938,126.56999969482422,136.77999877929688,292.3800048828125,348.2799987792969,82.30999755859375,71.2699966430664,513.3400268554688,226.44000244140625,237.91000366210938,22.59000015258789,63.65999984741211,140.47000122070312,60.900001525878906
2022-01-19,178.47999572753906,79.55000305175781,126.05000305175781,135.2100067138672,302.0199890136719,343.739990234375,82.1500015258789,71.0,516.5800170898438,224.8300018310547,234.33999633789062,23.06999969482422,62.7599983215332,140.42999267578125,58.84000015258789
2022-01-20,173.57000732421875,78.20999908447266,124.70999908447266,133.02999877929688,302.75,342.69000244140625,81.76000213623047,68.88999938964844,510.8500061035156,220.30999755859375,229.3300018310547,23.389999389648438,61.900001525878906,139.47999572753906,58.84000015258789
2022-01-21,172.64999389648438,76.81999969482422,125.83000183105469,131.97999572753906,304.57000732421875,335.6300048828125,81.3499984741211,68.94000244140625,499.9100036621094,217.1300048828125,226.14999389648438,22.950000762939453,60.86000061035156,137.50999450683594,57.31999969482422
2022-01-24,172.8000030517578,78.77999877929688,123.81999969482422,132.16000366210938,311.94000244140625,339.0,79.97000122070312,68.58999633789062,519.6599731445312,218.24000549316406,232.80999755859375,22.59000015258789,61.47999954223633,138.1199951171875,57.459999084472656
2022-01-25,173.75,75.4000015258789,123.2699966430664,133.08999633789062,296.8399963378906,334.95001220703125,79.12000274658203,68.37000274658203,502.7200012207031,216.8800048828125,230.17999267578125,22.170000076293945,61.900001525878906,134.57000732421875,58.209999084472656
2022-01-26,169.3000030517578,74.72000122070312,120.06999969482422,134.22999572753906,297.1400146484375,329.8900146484375,78.77999877929688,72.2699966430664,500.80999755859375,197.4600067138672,225.1199951171875,22.420000076293945,62.15999984741211,133.50999450683594,57.630001068115234
2022-01-27,170.16000366210938,75.8499984741211,120.44000244140625,135.97000122070312,277.29998779296875,333.3599853515625,78.9000015258789,74.19999694824219,493.04998779296875,196.4199981689453,225.11000061035156,22.06999969482422,61.88999938964844,132.08999633789062,56.41999816894531
2022-01-28,163.10000610351562,75.5,125.3499984741211,137.9199981689453,277.25,342.8500061035156,79.13999938964844,75.91999816894531,518.1599731445312,199.27000427246094,228.22000122070312,22.149999618530273,62.349998474121094,137.05999755859375,56.959999084472656
2022-01-31,166.02000427246094,76.41999816894531,127.45999908447266,136.88999938964844,295.8699951171875,353.5799865722656,79.01000213623047,75.0,534.2999877929688,206.1699981689453,231.50999450683594,22.18000030517578,62.81999969482422,139.32000732421875,57.75
2022-02-01,167.42999267578125,75.56999969482422,127.19999694824219,137.0,301.3500061035156,353.4200134277344,79.05999755859375,75.52999877929688,535.97998046875,205.55999755859375,234.8000030517578,22.15999984741211,62.88999938964844,141.02999877929688,59.11000061035156
2022-02-02,166.66000366210938,75.19999694824219,130.0399932861328,138.6199951171875,307.9599914550781,359.4700012207031,79.25,76.69000244140625,533.0900268554688,207.89999389648438,236.67999267578125,22.309999465942383,63.689998626708984,144.24000549316406,60.25
